[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-08-12 18:56:05,465] torch.distributed.run: [WARNING] *****************************************

=====================
DDP

=====================
DDP


====================================
DDP


====================================
DDP
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False

Gradient accumulation steps needed with B: 16 and T: 1024 for total batch size: 524288 = 16
total params: 124475904
loaded len : 338025
loaded len : 338025
step : 1 | loss: 10.925172805786133 | lr: 0.0000600 | dt: 35847.31 ms | tokens/sec: 14_625.588823 | norm: 28.85
step : 2 | loss: 9.567803382873535 | lr: 0.0001200 | dt: 2620.83 ms | tokens/sec: 200_046.818607 | norm: 7.79
step : 3 | loss: 9.125333786010742 | lr: 0.0001800 | dt: 2585.24 ms | tokens/sec: 202_800.485125 | norm: 3.87
step : 4 | loss: 9.705062866210938 | lr: 0.0002400 | dt: 2587.20 ms | tokens/sec: 202_647.162818 | norm: 8.84
step : 5 | loss: 8.97816276550293 | lr: 0.0003000 | dt: 2586.01 ms | tokens/sec: 202_739.775100 | norm: 4.23
step : 6 | loss: 8.55412769317627 | lr: 0.0003600 | dt: 2585.57 ms | tokens/sec: 202_774.584964 | norm: 2.33
step : 7 | loss: 8.33272933959961 | lr: 0.0004200 | dt: 2585.49 ms | tokens/sec: 202_781.185605 | norm: 4.92
step : 8 | loss: 7.976587295532227 | lr: 0.0004800 | dt: 2592.84 ms | tokens/sec: 202_206.078601 | norm: 1.63
step : 9 | loss: 7.652230262756348 | lr: 0.0005400 | dt: 2587.05 ms | tokens/sec: 202_658.368195 | norm: 2.67
step : 10 | loss: 7.273026466369629 | lr: 0.0006000 | dt: 2584.29 ms | tokens/sec: 202_874.912430 | norm: 2.49
step : 11 | loss: 6.95777702331543 | lr: 0.0006000 | dt: 2587.75 ms | tokens/sec: 202_603.641682 | norm: 1.90
step : 12 | loss: 6.724649906158447 | lr: 0.0006000 | dt: 2584.94 ms | tokens/sec: 202_824.240547 | norm: 1.17
step : 13 | loss: 6.517132759094238 | lr: 0.0006000 | dt: 2594.08 ms | tokens/sec: 202_109.717813 | norm: 1.46
step : 14 | loss: 6.38503885269165 | lr: 0.0006000 | dt: 2583.79 ms | tokens/sec: 202_914.655548 | norm: 2.12
step : 15 | loss: 6.269977569580078 | lr: 0.0006000 | dt: 2593.76 ms | tokens/sec: 202_134.612282 | norm: 0.98
step : 16 | loss: 6.223223686218262 | lr: 0.0006000 | dt: 2589.62 ms | tokens/sec: 202_457.587752 | norm: 1.54
step : 17 | loss: 6.160551071166992 | lr: 0.0006000 | dt: 2590.45 ms | tokens/sec: 202_392.667955 | norm: 1.42
step : 18 | loss: 6.163330078125 | lr: 0.0006000 | dt: 2591.85 ms | tokens/sec: 202_282.991515 | norm: 1.01
step : 19 | loss: 6.100296974182129 | lr: 0.0006000 | dt: 2594.77 ms | tokens/sec: 202_055.862714 | norm: 0.60
step : 20 | loss: 6.087071418762207 | lr: 0.0006000 | dt: 2591.76 ms | tokens/sec: 202_290.304542 | norm: 1.24
step : 21 | loss: 6.052515506744385 | lr: 0.0006000 | dt: 2591.53 ms | tokens/sec: 202_308.580116 | norm: 0.60
step : 22 | loss: 6.004415512084961 | lr: 0.0006000 | dt: 2595.02 ms | tokens/sec: 202_035.869353 | norm: 0.73
step : 23 | loss: 5.976036071777344 | lr: 0.0006000 | dt: 2591.15 ms | tokens/sec: 202_338.326858 | norm: 0.74
